GISJOIN,totalPopulation,freeAfAmPopulation,slavePopulation,totalAfAmPopulation,state,county,year,totalDensity,totalAsiaPopulation,totalIndianPopulation,totalWhitePopulation,area,totalAfAmPercentage,totalWhitePercentage,totalIndianPercentage,totalAsianPopulation,totalAsianPercentage
G3900010,9434,21,0,10406,Ohio,Adams,1810,12.98,,,,,,,,,
G3900090,2791,4,0,6338,Ohio,Athens,1810,2.4,,,,,,,,,
G3900130,11097,88,0,20329,Ohio,Belmont,1810,12.54,,,,,,,,,
G3900170,11150,79,0,21746,Ohio,Butler,1810,23.25,,,,,,,,,
G3900210,6303,65,0,8479,Ohio,Champaign,1810,1.87,,,,,,,,,
G3900250,9965,37,0,15820,Ohio,Clermont,1810,12.03,,,,,,,,,
G3900270,2674,9,0,8085,Ohio,Clinton,1810,7.39,,,,,,,,,
G3900290,10878,99,0,22033,Ohio,Columbiana,1810,12.78,,,,,,,,,
G3900350,1459,14,0,6328,Ohio,Cuyahoga,1810,0.92,,,,,,,,,
G3900410,2000,44,0,7639,Ohio,Delaware,1810,0.61,,,,,,,,,
G3900450,11361,35,0,16633,Ohio,Fairfield,1810,11.73,,,,,,,,,
G3900470,1854,4,0,6316,Ohio,Fayette,1810,4.55,,,,,,,,,
G3900490,3486,43,0,10292,Ohio,Franklin,1810,6.26,,,,,,,,,
G3900530,4181,15,0,7098,Ohio,Gallia,1810,3.57,,,,,,,,,
G3900550,2917,3,0,7791,Ohio,Geauga,1810,2.51,,,,,,,,,
G3900570,5870,36,0,10529,Ohio,Greene,1810,11.78,,,,,,,,,
G3900590,3051,7,0,9292,Ohio,Guernsey,1810,3.47,,,,,,,,,
G3900610,15258,158,0,31764,Ohio,Hamilton,1810,36.96,,,,,,,,,
G3900710,5766,126,0,12308,Ohio,Highland,1810,9.83,,,,,,,,,
G3900810,17260,124,0,18531,Ohio,Jefferson,1810,25.35,,,,,,,,,
G3900830,2149,12,0,8326,Ohio,Knox,1810,1.43,,,,,,,,,
G3900890,3852,8,0,11861,Ohio,Licking,1810,5.56,,,,,,,,,
G3900970,1603,13,0,4799,Ohio,Madison,1810,3.15,,,,,,,,,
G3901090,3941,21,0,8851,Ohio,Miami,1810,3.06,,,,,,,,,
G3901130,7722,54,0,15999,Ohio,Montgomery,1810,1.79,,,,,,,,,
G3901190,10036,75,0,17824,Ohio,Muskingum,1810,6.13,,,,,,,,,
G3901290,7124,69,0,13149,Ohio,Pickaway,1810,14.06,,,,,,,,,
G3901330,2995,7,0,10095,Ohio,Portage,1810,1.96,,,,,,,,,
G3901350,3304,25,0,10237,Ohio,Preble,1810,7.75,,,,,,,,,
G3901410,15514,370,0,20619,Ohio,Ross,1810,11.13,,,,,,,,,
G3901450,3399,29,0,5750,Ohio,Scioto,1810,3.3,,,,,,,,,
G3901510,2734,7,0,12406,Ohio,Stark,1810,1.75,,,,,,,,,
G3901550,8671,55,0,15546,Ohio,Trumbull,1810,8.29,,,,,,,,,
G3901570,3045,6,0,8328,Ohio,Tuscarawas,1810,3.49,,,,,,,,,
G3901650,9925,89,0,17837,Ohio,Warren,1810,24.45,,,,,,,,,
G3901670,5991,48,0,10425,Ohio,Washington,1810,5.1,,,,,,,,,
G1700030,626,0,0,0,Illinois,Alexander,1820,1.49,,,,,,,,,
G1700050,2931,22,27,49,Illinois,Bond,1820,0.62,,,,,,,,,
G1700230,931,0,1,1,Illinois,Clark,1820,0.06,,,,,,,,,
G1700330,3022,72,0,72,Illinois,Crawford,1820,1.18,,,,,,,,,
G1700470,3444,15,7,22,Illinois,Edwards,1820,4.29,,,,,,,,,
G1700550,1763,65,7,72,Illinois,Franklin,1820,1.99,,,,,,,,,
G1700590,3155,28,267,295,Illinois,Gallatin,1820,3.99,,,,,,,,,
G1700770,1542,0,39,39,Illinois,Jackson,1820,2.56,,,,,,,,,
G1700810,691,1,1,2,Illinois,Jefferson,1820,0.68,,,,,,,,,
G1700870,843,1,13,14,Illinois,Johnson,1820,1.67,,,,,,,,,
G1701190,13550,17,110,127,Illinois,Madison,1820,0.9,,,,,,,,,
G1701330,1537,10,13,23,Illinois,Monroe,1820,4.64,,,,,,,,,
G1701510,2610,34,0,34,Illinois,Pope,1820,4.34,,,,,,,,,
G1701570,3492,84,233,317,Illinois,Randolph,1820,3.37,,,,,,,,,
G1701630,5253,82,98,180,Illinois,St Clair,1820,7.09,,,,,,,,,
G1701810,2362,0,24,24,Illinois,Union,1820,5.6,,,,,,,,,
G1701890,1517,7,26,33,Illinois,Washington,1820,1.65,,,,,,,,,
G1701910,1114,0,3,3,Illinois,Wayne,1820,1.13,,,,,,,,,
G1701930,4828,19,48,67,Illinois,White,1820,5.15,,,,,,,,,
G1800190,8709,138,0,138,Indiana,Clark,1820,27.66,,,,,,,,,
G1800250,2583,0,0,0,Indiana,Crawford,1820,9.08,,,,,,,,,
G1800270,3432,32,0,32,Indiana,Daviess,1820,4.35,,,,,,,,,
G1800290,11468,72,0,72,Indiana,Dearborn,1820,29.07,,,,,,,,,
G1800350,3677,3,0,3,Indiana,Delaware,1820,0.55,,,,,,,,,
G1800370,1168,8,0,8,Indiana,Dubois,1820,2.68,,,,,,,,,
G1800410,5950,9,0,9,Indiana,Fayette,1820,25.79,,,,,,,,,
G1800430,2776,69,0,69,Indiana,Floyd,1820,23.14,,,,,,,,,
G1800470,10763,65,0,65,Indiana,Franklin,1820,21.78,,,,,,,,,
G1800510,3876,45,30,75,Indiana,Gibson,1820,6.56,,,,,,,,,
G1800610,7875,69,0,69,Indiana,Harrison,1820,13.76,,,,,,,,,
G1800710,4010,36,0,36,Indiana,Jackson,1820,6.4,,,,,,,,,
G1800770,8038,112,0,112,Indiana,Jefferson,1820,21.62,,,,,,,,,
G1800790,2000,45,0,45,Indiana,Jennings,1820,5.29,,,,,,,,,
G1800830,5437,166,118,284,Indiana,Knox,1820,10.34,,,,,,,,,
G1800930,4116,15,0,15,Indiana,Lawrence,1820,9.87,,,,,,,,,
G1801010,1032,4,0,4,Indiana,Martin,1820,3.83,,,,,,,,,
G1801050,2679,8,0,8,Indiana,Monroe,1820,7.59,,,,,,,,,
G1801170,5368,96,0,96,Indiana,Orange,1820,13.15,,,,,,,,,
G1801190,838,10,1,11,Indiana,Owen,1820,1.57,,,,,,,,,
G1801230,2330,15,1,16,Indiana,Perry,1820,5.67,,,,,,,,,
G1801250,1472,4,3,7,Indiana,Pike,1820,3.57,,,,,,,,,
G1801290,4061,6,11,17,Indiana,Posey,1820,9.59,,,,,,,,,
G1801350,1808,5,0,5,Indiana,Randolph,1820,2.16,,,,,,,,,
G1801370,1822,2,0,2,Indiana,Ripley,1820,4.26,,,,,,,,,
G1801430,2334,0,6,6,Indiana,Scott,1820,12.47,,,,,,,,,
G1801470,1882,2,3,5,Indiana,Spencer,1820,5.04,,,,,,,,,
G1801530,3498,20,8,28,Indiana,Sullivan,1820,4.64,,,,,,,,,
G1801550,3934,9,0,9,Indiana,Switzerland,1820,16.16,,,,,,,,,
G1801630,1798,3,8,11,Indiana,Vanderburgh,1820,7.63,,,,,,,,,
G1801670,3390,26,0,26,Indiana,Vigo,1820,4.54,,,,,,,,,
G1801675,147,5,0,5,Indiana,Wabash New Purchase *,1820,0.03,,,,,,,,,
G1801730,1749,6,1,7,Indiana,Warrick,1820,6.96,,,,,,,,,
G1801750,9039,59,0,59,Indiana,Washington,1820,17.47,,,,,,,,,
G1801770,12119,66,0,66,Indiana,Wayne,1820,29.16,,,,,,,,,
G3900010,10406,56,0,56,Ohio,Adams,1820,17.76,,,,,,,,,
G3900070,7382,4,0,4,Ohio,Ashtabula,1820,10.4,,,,,,,,,
G3900090,6338,26,0,26,Ohio,Athens,1820,8.3,,,,,,,,,
G3900130,20329,227,0,227,Ohio,Belmont,1820,37.55,,,,,,,,,
G3900150,13356,338,0,338,Ohio,Brown,1820,26.26,,,,,,,,,
G3900170,21746,158,0,158,Ohio,Butler,1820,46.25,,,,,,,,,
G3900210,8479,149,0,149,Ohio,Champaign,1820,19.73,,,,,,,,,
G3900230,9533,42,0,42,Ohio,Clark,1820,23.61,,,,,,,,,
G3900250,15820,29,0,29,Ohio,Clermont,1820,34.57,,,,,,,,,
G3900270,8085,46,0,46,Ohio,Clinton,1820,19.61,,,,,,,,,
G3900290,22033,160,0,160,Ohio,Columbiana,1820,25.88,,,,,,,,,
G3900310,7086,19,0,19,Ohio,Coshocton,1820,8.55,,,,,,,,,
G3900350,6328,54,0,54,Ohio,Cuyahoga,1820,10.24,,,,,,,,,
G3900370,3717,18,0,18,Ohio,Darke,1820,2.29,,,,,,,,,
G3900410,7639,37,0,37,Ohio,Delaware,1820,4.32,,,,,,,,,
G3900450,16633,22,0,22,Ohio,Fairfield,1820,29.85,,,,,,,,,
G3900470,6316,25,0,25,Ohio,Fayette,1820,15.52,,,,,,,,,
G3900490,10292,132,0,132,Ohio,Franklin,1820,19.2,,,,,,,,,
G3900530,7098,141,0,141,Ohio,Gallia,1820,13.57,,,,,,,,,
G3900550,7791,6,0,6,Ohio,Geauga,1820,12.85,,,,,,,,,
G3900570,10529,53,0,53,Ohio,Greene,1820,25.3,,,,,,,,,
G3900590,9292,52,0,52,Ohio,Guernsey,1820,14.8,,,,,,,,,
G3900610,31764,633,0,633,Ohio,Hamilton,1820,76.95,,,,,,,,,
G3900670,14345,28,0,28,Ohio,Harrison,1820,30.9,,,,,,,,,
G3900710,12308,171,0,171,Ohio,Highland,1820,22.6,,,,,,,,,
G3900730,2130,0,0,0,Ohio,Hocking,1820,4.62,,,,,,,,,
G3900770,6675,7,0,7,Ohio,Huron,1820,6.87,,,,,,,,,
G3900790,3746,36,0,36,Ohio,Jackson,1820,7.3,,,,,,,,,
G3900810,18531,217,0,217,Ohio,Jefferson,1820,46.5,,,,,,,,,
G3900830,8326,20,0,20,Ohio,Knox,1820,13.66,,,,,,,,,
G3900870,3499,23,0,23,Ohio,Lawrence,1820,7.62,,,,,,,,,
G3900890,11861,38,0,38,Ohio,Licking,1820,17.11,,,,,,,,,
G3900910,3181,78,0,78,Ohio,Logan,1820,3.28,,,,,,,,,
G3900970,4799,22,0,22,Ohio,Madison,1820,10.36,,,,,,,,,
G3901030,3082,14,0,14,Ohio,Medina,1820,4,,,,,,,,,
G3901050,4480,3,0,3,Ohio,Meigs,1820,10.36,,,,,,,,,
G3901090,8851,60,0,60,Ohio,Miami,1820,21.63,,,,,,,,,
G3901110,4645,11,0,11,Ohio,Monroe,1820,8.37,,,,,,,,,
G3901130,15999,73,0,73,Ohio,Montgomery,1820,34.46,,,,,,,,,
G3901150,5297,15,0,15,Ohio,Morgan,1820,10.88,,,,,,,,,
G3901190,17824,193,0,193,Ohio,Muskingum,1820,26.5,,,,,,,,,
G3901270,8429,18,0,18,Ohio,Perry,1820,20.47,,,,,,,,,
G3901290,13149,138,0,138,Ohio,Pickaway,1820,25.95,,,,,,,,,
G3901310,4253,122,0,122,Ohio,Pike,1820,9.53,,,,,,,,,
G3901330,10095,22,0,22,Ohio,Portage,1820,13.25,,,,,,,,,
G3901350,10237,32,0,32,Ohio,Preble,1820,24.01,,,,,,,,,
G3901390,9169,30,0,30,Ohio,Richland,1820,10.21,,,,,,,,,
G3901410,20619,502,0,502,Ohio,Ross,1820,29.75,,,,,,,,,
G3901430,852,3,0,3,Ohio,Sandusky,1820,0.71,,,,,,,,,
G3901450,5750,36,0,36,Ohio,Scioto,1820,9.33,,,,,,,,,
G3901490,2106,9,0,9,Ohio,Shelby,1820,2.14,,,,,,,,,
G3901510,12406,26,0,26,Ohio,Stark,1820,16.3,,,,,,,,,
G3901550,15546,50,0,50,Ohio,Trumbull,1820,17.44,,,,,,,,,
G3901570,8328,4,0,4,Ohio,Tuscarawas,1820,12.05,,,,,,,,,
G3901590,1996,8,0,8,Ohio,Union,1820,4.57,,,,,,,,,
G3901650,17837,187,0,187,Ohio,Warren,1820,43.81,,,,,,,,,
G3901670,10425,99,0,99,Ohio,Washington,1820,14.58,,,,,,,,,
G3901690,11933,0,0,0,Ohio,Wayne,1820,14.82,,,,,,,,,
G3901730,733,1,0,1,Ohio,Wood,1820,0.2,,,,,,,,,
G1700010,2186,5,0,5,Illinois,Adams,1830,2.51,,,,,,,,,
G1700030,1390,6,6,12,Illinois,Alexander,1830,3.31,,,,,,,,,
G1700050,3124,1,1,2,Illinois,Bond,1830,8.55,,,,,,,,,
G1700130,1090,0,0,0,Illinois,Calhoun,1830,3.84,,,,,,,,,
G1700230,3940,19,0,19,Illinois,Clark,1830,3.54,,,,,,,,,
G1700250,755,0,2,2,Illinois,Clay,1830,1.13,,,,,,,,,
G1700270,2330,82,5,87,Illinois,Clinton,1830,4.63,,,,,,,,,
G1700330,3117,14,0,14,Illinois,Crawford,1830,3.15,,,,,,,,,
G1700450,4071,15,0,15,Illinois,Edgar,1830,3.15,,,,,,,,,
G1700470,1649,40,0,40,Illinois,Edwards,1830,7.41,,,,,,,,,
G1700510,2704,11,24,35,Illinois,Fayette,1830,2.45,,,,,,,,,
G1700550,4083,38,9,47,Illinois,Franklin,1830,4.62,,,,,,,,,
G1700570,1841,0,0,0,Illinois,Fulton,1830,2.09,,,,,,,,,
G1700590,7405,282,184,466,Illinois,Gallatin,1830,9.36,,,,,,,,,
G1700610,7674,31,9,40,Illinois,Greene,1830,8.31,,,,,,,,,
G1700650,2616,8,2,10,Illinois,Hamilton,1830,6,,,,,,,,,
G1700670,483,0,0,0,Illinois,Hancock,1830,0.59,,,,,,,,,
G1700730,41,0,0,0,Illinois,Henry,1830,0.09,,,,,,,,,
G1700770,1828,41,21,62,Illinois,Jackson,1830,3.03,,,,,,,,,
G1700810,2555,3,0,3,Illinois,Jefferson,1830,4.38,,,,,,,,,
G1700850,2111,33,31,64,Illinois,Jo Daviess,1830,0.45,,,,,,,,,
G1700870,1596,1,11,12,Illinois,Johnson,1830,3.16,,,,,,,,,
G1700950,274,0,0,0,Illinois,Knox,1830,0.48,,,,,,,,,
G1701010,3668,173,0,173,Illinois,Lawrence,1830,6.12,,,,,,,,,
G1701150,1122,0,0,0,Illinois,Macon,1830,0.79,,,,,,,,,
G1701170,1990,0,0,0,Illinois,Macoupin,1830,2.29,,,,,,,,,
G1701190,6221,93,24,117,Illinois,Madison,1830,8.21,,,,,,,,,
G1701210,2125,3,1,4,Illinois,Marion,1830,3.69,,,,,,,,,
G1701310,26,0,0,0,Illinois,Mercer,1830,0.05,,,,,,,,,
G1701330,2000,3,38,41,Illinois,Monroe,1830,5.03,,,,,,,,,
G1701350,2953,4,4,8,Illinois,Montgomery,1830,3.07,,,,,,,,,
G1701370,12714,32,0,32,Illinois,Morgan,1830,10.52,,,,,,,,,
G1701450,1215,0,4,4,Illinois,Perry,1830,2.77,,,,,,,,,
G1701490,2396,3,0,3,Illinois,Pike,1830,2.82,,,,,,,,,
G1701510,3316,59,25,84,Illinois,Pope,1830,5.51,,,,,,,,,
G1701550,1310,41,0,41,Illinois,Putnam,1830,0.15,,,,,,,,,
G1701570,4429,152,211,363,Illinois,Randolph,1830,7.42,,,,,,,,,
G1701630,7078,211,96,307,Illinois,St Clair,1830,10.5,,,,,,,,,
G1701670,12960,34,13,47,Illinois,Sangamon,1830,5.69,,,,,,,,,
G1701690,2959,2,0,2,Illinois,Schuyler,1830,2.21,,,,,,,,,
G1701730,2972,0,2,2,Illinois,Shelby,1830,2.75,,,,,,,,,
G1701790,4716,11,4,15,Illinois,Tazewell,1830,1.09,,,,,,,,,
G1701810,3239,31,4,35,Illinois,Union,1830,7.67,,,,,,,,,
G1701830,5836,6,0,6,Illinois,Vermilion,1830,1.27,,,,,,,,,
G1701850,2710,17,0,17,Illinois,Wabash,1830,11.9,,,,,,,,,
G1701870,308,0,0,0,Illinois,Warren,1830,0.33,,,,,,,,,
G1701890,1675,23,13,36,Illinois,Washington,1830,2.97,,,,,,,,,
G1701910,2553,3,3,6,Illinois,Wayne,1830,3.57,,,,,,,,,
G1701930,6091,106,0,106,Illinois,White,1830,12.14,,,,,,,,,
G1800030,996,4,0,4,Indiana,Allen,1830,0.4,,,,,,,,,
G1800050,5476,6,0,6,Indiana,Bartholomew,1830,9.72,,,,,,,,,
G1800110,621,2,0,2,Indiana,Boone,1830,1.47,,,,,,,,,
G1800150,1611,0,0,0,Indiana,Carroll,1830,2.54,,,,,,,,,
G1800170,1162,16,0,16,Indiana,Cass,1830,0.47,,,,,,,,,
G1800190,10686,243,0,243,Indiana,Clark,1830,28.6,,,,,,,,,
G1800210,1616,1,0,1,Indiana,Clay,1830,4.48,,,,,,,,,
G1800230,1423,1,0,1,Indiana,Clinton,1830,3.41,,,,,,,,,
G1800250,3238,0,0,0,Indiana,Crawford,1830,10.48,,,,,,,,,
G1800270,4543,44,0,44,Indiana,Daviess,1830,10.4,,,,,,,,,
G1800290,13974,62,0,62,Indiana,Dearborn,1830,35.42,,,,,,,,,
G1800310,5887,9,1,10,Indiana,Decatur,1830,15.77,,,,,,,,,
G1800350,2374,2,0,2,Indiana,Delaware,1830,2.75,,,,,,,,,
G1800370,1778,2,0,2,Indiana,Dubois,1830,4.09,,,,,,,,,
G1800390,935,0,0,0,Indiana,Elkhart,1830,0.65,,,,,,,,,
G1800410,9112,31,0,31,Indiana,Fayette,1830,42.36,,,,,,,,,
G1800430,6361,265,0,265,Indiana,Floyd,1830,43.1,,,,,,,,,
G1800450,7619,9,0,9,Indiana,Fountain,1830,19.15,,,,,,,,,
G1800470,10190,91,0,91,Indiana,Franklin,1830,26.04,,,,,,,,,
G1800510,5418,53,0,53,Indiana,Gibson,1830,10.86,,,,,,,,,
G1800550,4242,41,0,41,Indiana,Greene,1830,7.77,,,,,,,,,
G1800570,1757,1,0,1,Indiana,Hamilton,1830,3.46,,,,,,,,,
G1800590,1436,0,0,0,Indiana,Hancock,1830,4.68,,,,,,,,,
G1800610,10273,123,0,123,Indiana,Harrison,1830,21.1,,,,,,,,,
G1800630,3975,5,0,5,Indiana,Hendricks,1830,10.18,,,,,,,,,
G1800650,6497,41,0,41,Indiana,Henry,1830,16.45,,,,,,,,,
G1800710,4870,120,0,120,Indiana,Jackson,1830,8.9,,,,,,,,,
G1800770,11465,240,0,240,Indiana,Jefferson,1830,31.3,,,,,,,,,
G1800790,3974,58,0,58,Indiana,Jennings,1830,10.5,,,,,,,,,
G1800810,4019,6,0,6,Indiana,Johnson,1830,12.5,,,,,,,,,
G1800830,6525,447,0,447,Indiana,Knox,1830,12.41,,,,,,,,,
G1800930,9234,59,0,59,Indiana,Lawrence,1830,21.21,,,,,,,,,
G1800950,2238,11,0,11,Indiana,Madison,1830,5.27,,,,,,,,,
G1800970,7192,73,0,73,Indiana,Marion,1830,17.89,,,,,,,,,
G1801010,2010,11,0,11,Indiana,Martin,1830,5.9,,,,,,,,,
G1801050,6577,70,0,70,Indiana,Monroe,1830,11.8,,,,,,,,,
G1801070,7317,9,0,9,Indiana,Montgomery,1830,14.48,,,,,,,,,
G1801090,5593,31,0,31,Indiana,Morgan,1830,12.67,,,,,,,,,
G1801170,7901,124,1,125,Indiana,Orange,1830,19.36,,,,,,,,,
G1801190,4017,25,0,25,Indiana,Owen,1830,10.36,,,,,,,,,
G1801210,7535,16,0,16,Indiana,Parke,1830,16.74,,,,,,,,,
G1801230,3369,13,0,13,Indiana,Perry,1830,8.72,,,,,,,,,
G1801250,2475,14,0,14,Indiana,Pike,1830,7.26,,,,,,,,,
G1801290,6549,26,0,26,Indiana,Posey,1830,15.61,,,,,,,,,
G1801330,8262,6,0,6,Indiana,Putnam,1830,17.57,,,,,,,,,
G1801350,3912,123,0,123,Indiana,Randolph,1830,3.96,,,,,,,,,
G1801370,3989,8,0,8,Indiana,Ripley,1830,8.91,,,,,,,,,
G1801390,9707,107,0,107,Indiana,Rush,1830,23.76,,,,,,,,,
G1801410,287,0,0,0,Indiana,St Joseph,1830,0.14,,,,,,,,,
G1801430,3092,15,0,15,Indiana,Scott,1830,16.53,,,,,,,,,
G1801450,6295,8,0,8,Indiana,Shelby,1830,15.24,,,,,,,,,
G1801470,3196,14,0,14,Indiana,Spencer,1830,7.97,,,,,,,,,
G1801530,4630,39,0,39,Indiana,Sullivan,1830,10.24,,,,,,,,,
G1801550,7028,13,0,13,Indiana,Switzerland,1830,31.44,,,,,,,,,
G1801570,7187,0,0,0,Indiana,Tippecanoe,1830,14.29,,,,,,,,,
G1801610,7944,77,0,77,Indiana,Union,1830,48.07,,,,,,,,,
G1801630,2611,48,0,48,Indiana,Vanderburgh,1830,11.08,,,,,,,,,
G1801650,5692,19,0,19,Indiana,Vermillion,1830,21.9,,,,,,,,,
G1801670,5766,123,0,123,Indiana,Vigo,1830,14.05,,,,,,,,,
G1801710,2861,0,0,0,Indiana,Warren,1830,5.99,,,,,,,,,
G1801730,2877,1,1,2,Indiana,Warrick,1830,7.36,,,,,,,,,
G1801750,13064,206,0,206,Indiana,Washington,1830,25.02,,,,,,,,,
G1801770,18571,417,0,417,Indiana,Wayne,1830,45.93,,,,,,,,,
G2900190,8859,1,1923,1924,Missouri,Boone,1830,13.41,,,,,,,,,
G2900270,6159,1,1456,1457,Missouri,Callaway,1830,5.16,,,,,,,,,
G2900310,7445,21,1026,1047,Missouri,Cape Girardeau,1830,4.1,,,,,,,,,
G2900410,1780,0,301,301,Missouri,Chariton,1830,0.6,,,,,,,,,
G2900470,5338,13,882,895,Missouri,Clay,1830,2.65,,,,,,,,,
G2900510,3023,5,300,305,Missouri,Cole,1830,3.48,,,,,,,,,
G2900530,6904,7,1021,1028,Missouri,Cooper,1830,4.21,,,,,,,,,
G2900550,1712,1,64,65,Missouri,Crawford,1830,0.27,,,,,,,,,
G2900710,3484,14,386,400,Missouri,Franklin,1830,2.22,,,,,,,,,
G2900730,1545,7,137,144,Missouri,Gasconade,1830,1.07,,,,,,,,,
G2900890,10854,31,2646,2677,Missouri,Howard,1830,23.07,,,,,,,,,
G2900950,2823,0,193,193,Missouri,Jackson,1830,1.39,,,,,,,,,
G2900990,2592,12,236,248,Missouri,Jefferson,1830,3.9,,,,,,,,,
G2901070,2912,2,429,431,Missouri,Lafayette,1830,1.1,,,,,,,,,
G2901130,4059,3,750,753,Missouri,Lincoln,1830,6.58,,,,,,,,,
G2901230,2371,25,410,435,Missouri,Madison,1830,2.43,,,,,,,,,
G2901270,4837,4,1327,1331,Missouri,Marion,1830,1.8,,,,,,,,,
G2901390,3902,1,605,606,Missouri,Montgomery,1830,3.89,,,,,,,,,
G2901430,2350,4,471,475,Missouri,New Madrid,1830,1.3,,,,,,,,,
G2901570,3349,3,536,539,Missouri,Perry,1830,6.92,,,,,,,,,
G2901630,6129,4,1193,1197,Missouri,Pike,1830,8.95,,,,,,,,,
G2901730,4375,8,839,847,Missouri,Ralls,1830,2.71,,,,,,,,,
G2901750,2942,2,493,495,Missouri,Randolph,1830,1.53,,,,,,,,,
G2901770,2657,4,166,170,Missouri,Ray,1830,0.6,,,,,,,,,
G2901830,4320,32,951,983,Missouri,St Charles,1830,7.29,,,,,,,,,
G2901860,2186,51,523,574,Missouri,Ste Genevieve,1830,4.66,,,,,,,,,
G2901870,2366,14,423,437,Missouri,St Francois,1830,5.18,,,,,,,,,
G2901890,14125,220,2796,3016,Missouri,St Louis,1830,23.95,,,,,,,,,
G2901950,2873,26,706,732,Missouri,Saline,1830,1.7,,,,,,,,,
G2902010,2136,9,362,371,Missouri,Scott,1830,2.52,,,,,,,,,
G2902210,6784,34,1168,1202,Missouri,Washington,1830,6.57,,,,,,,,,
G2902230,3264,10,372,382,Missouri,Wayne,1830,0.18,,,,,,,,,
G3900010,12281,71,0,71,Ohio,Adams,1830,20.97,,,,,,,,,
G3900030,578,0,0,0,Ohio,Allen,1830,1.08,,,,,,,,,
G3900070,14584,11,0,11,Ohio,Ashtabula,1830,20.55,,,,,,,,,
G3900090,9787,13,0,13,Ohio,Athens,1830,12.82,,,,,,,,,
G3900130,28627,597,0,597,Ohio,Belmont,1830,52.88,,,,,,,,,
G3900150,17867,520,0,520,Ohio,Brown,1830,35.13,,,,,,,,,
G3900170,27142,183,1,184,Ohio,Butler,1830,57.72,,,,,,,,,
G3900210,12131,207,0,207,Ohio,Champaign,1830,28.23,,,,,,,,,
G3900230,13114,150,1,151,Ohio,Clark,1830,32.48,,,,,,,,,
G3900250,20466,92,0,92,Ohio,Clermont,1830,44.72,,,,,,,,,
G3900270,11436,114,0,114,Ohio,Clinton,1830,27.74,,,,,,,,,
G3900290,35592,352,0,352,Ohio,Columbiana,1830,41.81,,,,,,,,,
G3900310,11161,43,0,43,Ohio,Coshocton,1830,19.66,,,,,,,,,
G3900330,4791,21,0,21,Ohio,Crawford,1830,8.34,,,,,,,,,
G3900350,10373,76,0,76,Ohio,Cuyahoga,1830,21.03,,,,,,,,,
G3900370,6204,73,0,73,Ohio,Darke,1830,9.69,,,,,,,,,
G3900410,11504,52,0,52,Ohio,Delaware,1830,18.8,,,,,,,,,
G3900450,24786,206,0,206,Ohio,Fairfield,1830,44.48,,,,,,,,,
G3900470,8182,53,0,53,Ohio,Fayette,1830,20.1,,,,,,,,,
G3900490,14741,288,0,288,Ohio,Franklin,1830,27.3,,,,,,,,,
G3900530,9733,522,0,522,Ohio,Gallia,1830,18.61,,,,,,,,,
G3900550,15813,21,0,21,Ohio,Geauga,1830,26.08,,,,,,,,,
G3900570,14801,162,0,162,Ohio,Greene,1830,35.56,,,,,,,,,
G3900590,18036,146,0,146,Ohio,Guernsey,1830,28.72,,,,,,,,,
G3900610,52317,1304,2,1306,Ohio,Hamilton,1830,126.74,,,,,,,,,
G3900630,813,9,0,9,Ohio,Hancock,1830,1.4,,,,,,,,,
G3900650,210,0,0,0,Ohio,Hardin,1830,0.42,,,,,,,,,
G3900670,20916,75,0,75,Ohio,Harrison,1830,45.06,,,,,,,,,
G3900690,262,0,0,0,Ohio,Henry,1830,0.35,,,,,,,,,
G3900710,16345,314,0,314,Ohio,Highland,1830,30.02,,,,,,,,,
G3900730,4008,7,0,7,Ohio,Hocking,1830,8.7,,,,,,,,,
G3900750,9135,10,0,10,Ohio,Holmes,1830,21.54,,,,,,,,,
G3900770,13341,56,0,56,Ohio,Huron,1830,16.55,,,,,,,,,
G3900790,5941,124,0,124,Ohio,Jackson,1830,11.58,,,,,,,,,
G3900810,22489,381,0,381,Ohio,Jefferson,1830,56.44,,,,,,,,,
G3900830,17085,44,0,44,Ohio,Knox,1830,28.04,,,,,,,,,
G3900870,5367,107,0,107,Ohio,Lawrence,1830,11.68,,,,,,,,,
G3900890,20869,77,0,77,Ohio,Licking,1830,30.27,,,,,,,,,
G3900910,6440,98,0,98,Ohio,Logan,1830,13.8,,,,,,,,,
G3900930,5696,3,0,3,Ohio,Lorain,1830,9.71,,,,,,,,,
G3900970,6190,47,1,48,Ohio,Madison,1830,13.36,,,,,,,,,
G3901010,6551,0,0,0,Ohio,Marion,1830,11.25,,,,,,,,,
G3901030,7560,12,0,12,Ohio,Medina,1830,16.03,,,,,,,,,
G3901050,6158,2,0,2,Ohio,Meigs,1830,14.24,,,,,,,,,
G3901070,1110,1,0,1,Ohio,Mercer,1830,1.9,,,,,,,,,
G3901090,12807,48,0,48,Ohio,Miami,1830,31.3,,,,,,,,,
G3901110,8768,13,0,13,Ohio,Monroe,1830,15.09,,,,,,,,,
G3901130,24362,139,1,140,Ohio,Montgomery,1830,52.47,,,,,,,,,
G3901150,11800,69,0,69,Ohio,Morgan,1830,24.25,,,,,,,,,
G3901190,29334,368,0,368,Ohio,Muskingum,1830,43.61,,,,,,,,,
G3901250,161,0,0,0,Ohio,Paulding,1830,0.37,,,,,,,,,
G3901270,13970,10,0,10,Ohio,Perry,1830,33.93,,,,,,,,,
G3901290,16001,164,0,164,Ohio,Pickaway,1830,31.57,,,,,,,,,
